DATOS HORARIOS 2023_CICEG ,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,03(ppm),SO2(ppm),NO2(ppm),CO(ppm),PM10(µg/m3),PM2.5(µg/m3),TEMP,WS,WD,UV,RADSOL
NOVIEMBRE,1,0,0.014,0.009,0.006,0.67,25,7,17.35,2.72,232.57,0.06,NA
NOVIEMBRE,1,1,0.016,0.008,0.004,0.57,32,14,15.77,2.86,222.01,0.06,NA
NOVIEMBRE,1,2,0.015,0.008,0.003,0.52,19,9,14.40,2.18,231.82,0.06,NA
NOVIEMBRE,1,3,0.013,0.008,0.004,0.44,20,12,13.56,0.94,282.34,0.06,NA
NOVIEMBRE,1,4,0.017,0.008,0.003,NA,19,12,12.76,1.04,251.26,0.06,NA
NOVIEMBRE,1,5,0.015,0.007,0.003,0.87,17,12,12.34,0.47,239.92,0.06,NA
NOVIEMBRE,1,6,0.009,0.008,0.007,1.34,19,11,11.86,0.11,208.58,0.07,NA
NOVIEMBRE,1,7,0.005,0.009,0.008,1.76,33,14,12.06,0.80,205.25,0.67,NA
NOVIEMBRE,1,8,0.013,0.009,0.006,1.95,52,14,13.49,2.57,192.86,2.41,NA
NOVIEMBRE,1,9,0.019,0.009,0.005,1.95,52,7,16.31,1.56,157.69,4.95,NA
NOVIEMBRE,1,10,0.027,0.008,0.005,1.81,34,7,18.40,2.26,138.70,7.52,NA
NOVIEMBRE,1,11,0.034,0.008,0.003,1.54,23,4,20.12,2.10,116.81,9.38,NA
NOVIEMBRE,1,12,0.037,0.008,0.003,0.97,22,3,21.59,2.37,112.58,9.96,NA
NOVIEMBRE,1,13,0.038,0.008,0.004,1.43,22,3,22.86,2.58,131.26,9.35,NA
NOVIEMBRE,1,14,0.040,0.008,0.004,1.53,26,2,24.13,1.98,128.62,7.61,NA
NOVIEMBRE,1,15,0.044,0.009,0.003,1.58,26,6,25.05,1.95,116.38,5.24,NA
NOVIEMBRE,1,16,0.045,0.008,0.003,1.51,27,12,24.89,1.99,107.72,2.78,NA
NOVIEMBRE,1,17,0.036,0.009,0.005,1.46,24,15,23.46,2.61,97.76,0.84,NA
NOVIEMBRE,1,18,0.023,0.008,0.006,1.36,31,17,21.12,1.89,71.78,0.09,NA
NOVIEMBRE,1,19,0.009,0.009,0.011,1.13,49,21,19.60,0.37,102.57,0.06,NA
NOVIEMBRE,1,20,0.012,0.009,0.010,1.57,75,20,18.29,0.11,80.55,0.06,NA
NOVIEMBRE,1,21,0.008,0.009,0.011,1.73,59,15,17.51,0.35,109.03,0.06,NA
NOVIEMBRE,1,22,0.004,0.009,0.012,1.96,55,15,16.87,2.01,252.13,0.06,NA
NOVIEMBRE,1,23,0.012,0.008,0.007,1.85,83,17,15.46,1.90,247.59,0.06,NA
NOVIEMBRE,2,0,0.011,0.008,0.006,NA,39,5,14.31,1.04,262.28,0.06,NA
NOVIEMBRE,2,1,0.014,0.008,0.005,1,27,7,13.70,1.01,266.23,0.06,NA
NOVIEMBRE,2,2,0.014,0.008,0.004,0.91,20,7,12.90,0.50,256.63,0.06,NA
NOVIEMBRE,2,3,0.018,0.008,0.003,0.8,20,8,11.81,0.58,225.39,0.06,NA
NOVIEMBRE,2,4,0.017,0.008,0.003,0.7,10,7,11.16,0.37,219.89,0.06,NA
NOVIEMBRE,2,5,0.011,0.008,0.004,0.67,12,8,10.29,0.11,276.39,0.06,NA
NOVIEMBRE,2,6,0.008,0.008,0.006,0.72,15,9,10.35,0.11,228.76,0.07,NA
NOVIEMBRE,2,7,0.008,0.010,0.007,0.86,27,15,10.74,0.11,193.23,0.68,NA
NOVIEMBRE,2,8,0.010,0.010,0.006,NA,38,3,13.62,0.18,218.86,2.52,NA
NOVIEMBRE,2,9,0.016,0.010,0.006,NA,41,11,15.88,1.46,231.01,4.91,NA
NOVIEMBRE,2,10,0.023,0.009,0.006,0.74,42,14,18.65,1.18,218.59,7.27,NA
NOVIEMBRE,2,11,0.035,0.009,0.006,1.16,57,4,21.12,1.40,135.13,9.24,NA
NOVIEMBRE,2,12,0.045,0.010,0.008,1.16,47,7,23.95,1.72,217.72,9.93,NA
NOVIEMBRE,2,13,0.054,0.009,0.007,1.18,49,3,25.98,2.02,186.01,9.36,NA
NOVIEMBRE,2,14,0.054,0.010,0.006,1.15,46,6,27.25,2.03,204.16,7.58,NA
NOVIEMBRE,2,15,0.056,0.009,0.005,1.16,37,9,28.10,1.81,165.16,5.25,NA
NOVIEMBRE,2,16,0.053,0.009,0.004,NA,41,6,28.08,3.03,130.24,2.93,NA
NOVIEMBRE,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,10,0.026,0.005,NA,NA,NA,4,22.14,1.31,224.48,7.37,NA
NOVIEMBRE,3,11,0.038,0.006,0.010,2.67,85,2,24.42,2.00,212.02,9.44,NA
NOVIEMBRE,3,12,0.044,0.006,0.007,2.83,57,2,26.88,2.27,213.70,10.22,NA
NOVIEMBRE,3,13,0.053,0.005,0.006,2.25,45,2,28.29,2.09,146.04,9.44,NA
NOVIEMBRE,3,14,0.054,0.005,0.006,1.7,35,2,29.34,2.10,136.29,7.74,NA
NOVIEMBRE,3,15,0.042,0.004,0.005,0.87,39,3,28.94,2.61,110.96,4.46,NA
NOVIEMBRE,3,16,0.032,0.004,0.008,NA,26,19,27.72,2.72,141.37,2.37,NA
NOVIEMBRE,3,17,0.037,0.004,0.004,NA,30,6,26.08,3.57,70.76,0.78,NA
NOVIEMBRE,3,18,0.032,0.004,0.005,0.26,39,12,24.37,4.50,72.35,0.09,NA
NOVIEMBRE,3,19,0.030,0.003,0.004,NA,46,16,23.00,4.93,73.63,0.06,NA
NOVIEMBRE,3,20,0.032,0.003,0.003,0.38,56,16,22.19,5.28,69.12,0.06,NA
NOVIEMBRE,3,21,0.033,0.003,0.002,0.44,70,13,21.47,5.43,63.90,0.06,NA
NOVIEMBRE,3,22,0.032,0.003,0.001,0.23,53,5,21.04,4.66,64.39,0.06,NA
NOVIEMBRE,3,23,0.023,0.003,0.004,NA,27,10,20.10,1.66,206.29,0.06,NA
NOVIEMBRE,4,0,0.017,0.005,0.006,0.51,24,3,18.26,2.10,94.48,0.06,NA
NOVIEMBRE,4,1,0.008,0.008,0.008,0.45,30,11,16.59,1.27,82.33,0.06,NA
NOVIEMBRE,4,2,0.005,0.009,0.010,0.35,33,16,15.03,0.58,191.80,0.06,NA
NOVIEMBRE,4,3,0.004,0.008,0.008,0.23,37,14,13.85,0.74,122.29,0.06,NA
NOVIEMBRE,4,4,0.004,0.008,0.008,NA,37,12,13.11,0.65,298.35,0.06,NA
NOVIEMBRE,4,5,0.005,0.008,0.008,NA,32,15,12.68,1.34,248.89,0.06,NA
NOVIEMBRE,4,6,0.004,0.009,0.008,NA,30,15,11.95,0.89,208.53,0.07,NA
NOVIEMBRE,4,7,0.006,0.011,0.009,NA,37,15,12.75,0.86,196.07,0.69,NA
NOVIEMBRE,4,8,0.011,0.010,0.008,0.16,43,8,15.92,1.26,220.08,2.63,NA
NOVIEMBRE,4,9,0.016,0.009,0.009,0.14,49,14,19.06,1.51,227.33,5.18,NA
NOVIEMBRE,4,10,0.026,0.009,0.006,NA,76,14,22.21,2.10,231.18,7.83,NA
NOVIEMBRE,4,11,0.034,0.009,0.005,NA,54,3,25.18,1.93,147.36,9.57,NA
NOVIEMBRE,4,12,0.038,0.009,0.006,0.92,36,4,26.44,2.68,169.00,10.23,NA
NOVIEMBRE,4,13,0.040,0.009,0.002,0.69,40,5,27.73,3.05,134.01,9.78,NA
NOVIEMBRE,4,14,0.038,0.008,0.001,0.32,35,3,27.96,4.00,95.86,8.06,NA
NOVIEMBRE,4,15,0.041,0.008,0.001,NA,21,3,26.92,5.24,72.68,5.54,NA
NOVIEMBRE,4,16,0.041,0.008,0.001,NA,28,7,26.55,4.59,56.05,2.93,NA
NOVIEMBRE,4,17,0.040,0.008,0.002,NA,14,11,25.47,3.78,48.54,0.84,NA
NOVIEMBRE,4,18,0.032,0.008,0.003,NA,22,15,23.64,2.82,62.82,0.09,NA
NOVIEMBRE,4,19,0.027,0.007,0.005,NA,25,17,22.09,2.60,96.25,0.06,NA
NOVIEMBRE,4,20,0.028,0.008,0.004,NA,32,14,20.71,2.01,118.58,0.06,NA
NOVIEMBRE,4,21,0.037,0.007,0.002,NA,46,14,20.31,2.97,79.67,0.06,NA
NOVIEMBRE,4,22,0.023,0.007,0.007,0.55,28,12,19.67,1.75,245.47,0.06,NA
NOVIEMBRE,4,23,0.040,0.007,0.001,0.56,22,3,19.47,2.65,141.25,0.06,NA
NOVIEMBRE,5,0,0.025,0.007,0.006,0.59,9,9,18.61,2.55,191.36,0.06,NA
NOVIEMBRE,5,1,0.018,0.007,0.006,0.76,37,11,15.22,2.42,228.54,0.06,NA
NOVIEMBRE,5,2,0.016,0.007,0.006,0.67,38,15,13.26,0.65,120.10,0.06,NA
NOVIEMBRE,5,3,0.006,0.008,0.009,0.66,31,7,11.62,0.11,118.03,0.06,NA
NOVIEMBRE,5,4,0.007,0.008,0.008,0.7,34,13,11.13,0.11,53.86,0.06,NA
NOVIEMBRE,5,5,0.005,0.008,0.008,0.7,28,11,10.28,0.11,74.83,0.06,NA
NOVIEMBRE,5,6,0.005,0.009,0.008,0.71,28,17,9.14,0.11,118.39,0.07,NA
NOVIEMBRE,5,7,0.005,0.009,0.009,0.81,40,14,10.67,0.14,67.41,0.70,NA
NOVIEMBRE,5,8,0.013,0.009,0.009,0.86,46,5,15.78,0.62,184.70,2.68,NA
