DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CICEG 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],CO Promedio
NOVIEMBRE,1,0,0.014,0.030,0.009,27,9,0.006,0.767143
NOVIEMBRE,1,1,0.016,0.026,0.009,30,12,0.004,0.731667
NOVIEMBRE,1,2,0.015,0.023,0.009,24,10,0.003,NA
NOVIEMBRE,1,3,0.013,0.020,0.009,22,11,0.004,NA
NOVIEMBRE,1,4,0.017,0.020,0.009,20,12,0.003,NA
NOVIEMBRE,1,5,0.015,0.018,0.009,19,12,0.003,NA
NOVIEMBRE,1,6,0.009,0.015,0.009,19,12,0.007,NA
NOVIEMBRE,1,7,0.005,0.013,0.009,26,13,0.008,NA
NOVIEMBRE,1,8,0.013,0.013,0.009,39,13,0.006,NA
NOVIEMBRE,1,9,0.019,0.013,0.009,45,10,0.005,NA
NOVIEMBRE,1,10,0.027,0.015,0.009,40,9,0.005,NA
NOVIEMBRE,1,11,0.034,0.017,0.009,31,6,0.003,NA
NOVIEMBRE,1,12,0.037,0.020,0.009,26,5,0.003,NA
NOVIEMBRE,1,13,0.038,0.023,0.008,24,4,0.004,NA
NOVIEMBRE,1,14,0.040,0.027,0.008,25,3,0.004,NA
NOVIEMBRE,1,15,0.044,0.031,0.008,26,4,0.003,NA
NOVIEMBRE,1,16,0.045,0.035,0.008,26,8,0.003,NA
NOVIEMBRE,1,17,0.036,0.038,0.008,25,12,0.005,NA
NOVIEMBRE,1,18,0.023,0.037,0.008,28,14,0.006,NA
NOVIEMBRE,1,19,0.009,0.034,0.008,38,18,0.011,NA
NOVIEMBRE,1,20,0.012,0.031,0.008,57,19,0.010,NA
NOVIEMBRE,1,21,0.008,0.027,0.008,58,17,0.011,NA
NOVIEMBRE,1,22,0.004,0.023,0.008,57,16,0.012,NA
NOVIEMBRE,1,23,0.012,0.018,0.008,70,16,0.007,NA
NOVIEMBRE,2,0,0.011,0.014,0.008,54,11,0.006,NA
NOVIEMBRE,2,1,0.014,0.012,0.008,41,9,0.005,NA
NOVIEMBRE,2,2,0.014,0.010,0.008,30,8,0.004,NA
NOVIEMBRE,2,3,0.018,0.012,0.008,25,8,0.003,NA
NOVIEMBRE,2,4,0.017,0.012,0.008,17,8,0.003,NA
NOVIEMBRE,2,5,0.011,0.013,0.008,15,8,0.004,NA
NOVIEMBRE,2,6,0.008,0.013,0.008,15,9,0.006,NA
NOVIEMBRE,2,7,0.008,0.013,0.008,21,12,0.007,NA
NOVIEMBRE,2,8,0.010,0.013,0.008,29,8,0.006,NA
NOVIEMBRE,2,9,0.016,0.013,0.009,35,9,0.006,NA
NOVIEMBRE,2,10,0.023,0.014,0.009,39,12,0.006,NA
NOVIEMBRE,2,11,0.035,0.016,0.009,48,8,0.006,NA
NOVIEMBRE,2,12,0.045,0.020,0.009,47,8,0.008,NA
NOVIEMBRE,2,13,0.054,0.025,0.009,48,5,0.007,NA
NOVIEMBRE,2,14,0.054,0.031,0.009,47,6,0.006,NA
NOVIEMBRE,2,15,0.056,0.037,0.009,42,8,0.005,NA
NOVIEMBRE,2,16,0.053,0.042,0.009,41,7,0.004,NA
NOVIEMBRE,2,17,NA,0.046,0.009,NA,NA,NA,NA
NOVIEMBRE,2,18,NA,0.050,0.009,NA,NA,NA,NA
NOVIEMBRE,2,19,NA,NA,0.009,NA,NA,NA,NA
NOVIEMBRE,2,20,NA,NA,0.009,NA,NA,NA,NA
NOVIEMBRE,2,21,NA,NA,0.009,NA,NA,NA,NA
NOVIEMBRE,2,22,NA,NA,0.009,NA,NA,NA,NA
NOVIEMBRE,2,23,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,0,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,1,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,2,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,3,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,4,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,5,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,6,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,7,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,8,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,9,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,3,10,0.026,NA,NA,NA,NA,NA,NA
