DATOS HORARIOS 2023_FACULTAD DE MEDICINA ,,,
NOTA,LOS DATOS SON PREVALIDOS,,
,,,
MES,DIA,HORA,PM10(µg/m3)
NOVIEMBRE,1,0,18
NOVIEMBRE,1,1,13
NOVIEMBRE,1,2,16
NOVIEMBRE,1,3,21
NOVIEMBRE,1,4,21
NOVIEMBRE,1,5,15
NOVIEMBRE,1,6,4
NOVIEMBRE,1,7,24
NOVIEMBRE,1,8,27
NOVIEMBRE,1,9,35
NOVIEMBRE,1,10,29
NOVIEMBRE,1,11,24
NOVIEMBRE,1,12,26
NOVIEMBRE,1,13,NA
NOVIEMBRE,1,14,NA
NOVIEMBRE,1,15,NA
NOVIEMBRE,1,16,NA
NOVIEMBRE,1,17,NA
NOVIEMBRE,1,18,NA
NOVIEMBRE,1,19,NA
NOVIEMBRE,1,20,NA
NOVIEMBRE,1,21,NA
NOVIEMBRE,1,22,NA
NOVIEMBRE,1,23,NA
NOVIEMBRE,2,0,NA
NOVIEMBRE,2,1,NA
NOVIEMBRE,2,2,NA
NOVIEMBRE,2,3,NA
NOVIEMBRE,2,4,NA
NOVIEMBRE,2,5,NA
NOVIEMBRE,2,6,NA
NOVIEMBRE,2,7,NA
NOVIEMBRE,2,8,NA
NOVIEMBRE,2,9,NA
NOVIEMBRE,2,10,NA
NOVIEMBRE,2,11,NA
NOVIEMBRE,2,12,NA
NOVIEMBRE,2,13,NA
NOVIEMBRE,2,14,NA
NOVIEMBRE,2,15,NA
NOVIEMBRE,2,16,NA
NOVIEMBRE,2,17,NA
NOVIEMBRE,2,18,NA
NOVIEMBRE,2,19,NA
NOVIEMBRE,2,20,NA
NOVIEMBRE,2,21,NA
NOVIEMBRE,2,22,NA
NOVIEMBRE,2,23,NA
NOVIEMBRE,3,0,22
NOVIEMBRE,3,1,35
NOVIEMBRE,3,2,24
NOVIEMBRE,3,3,31
NOVIEMBRE,3,4,35
NOVIEMBRE,3,5,29
NOVIEMBRE,3,6,25
NOVIEMBRE,3,7,33
NOVIEMBRE,3,8,49
NOVIEMBRE,3,9,60
NOVIEMBRE,3,10,70
NOVIEMBRE,3,11,78
NOVIEMBRE,3,12,51
NOVIEMBRE,3,13,39
NOVIEMBRE,3,14,28
NOVIEMBRE,3,15,31
NOVIEMBRE,3,16,25
NOVIEMBRE,3,17,23
NOVIEMBRE,3,18,34
NOVIEMBRE,3,19,37
NOVIEMBRE,3,20,36
NOVIEMBRE,3,21,43
NOVIEMBRE,3,22,32
NOVIEMBRE,3,23,42
NOVIEMBRE,4,0,34
NOVIEMBRE,4,1,21
NOVIEMBRE,4,2,14
NOVIEMBRE,4,3,18
NOVIEMBRE,4,4,16
NOVIEMBRE,4,5,20
NOVIEMBRE,4,6,21
NOVIEMBRE,4,7,18
NOVIEMBRE,4,8,36
NOVIEMBRE,4,9,40
NOVIEMBRE,4,10,46
NOVIEMBRE,4,11,35
NOVIEMBRE,4,12,28
NOVIEMBRE,4,13,32
NOVIEMBRE,4,14,27
NOVIEMBRE,4,15,30
NOVIEMBRE,4,16,27
NOVIEMBRE,4,17,20
NOVIEMBRE,4,18,20
NOVIEMBRE,4,19,27
NOVIEMBRE,4,20,42
NOVIEMBRE,4,21,28
NOVIEMBRE,4,22,26
NOVIEMBRE,4,23,17
NOVIEMBRE,5,0,15
NOVIEMBRE,5,1,21
NOVIEMBRE,5,2,20
NOVIEMBRE,5,3,24
NOVIEMBRE,5,4,36
NOVIEMBRE,5,5,28
NOVIEMBRE,5,6,26
NOVIEMBRE,5,7,30
NOVIEMBRE,5,8,44
NOVIEMBRE,5,9,29
NOVIEMBRE,5,10,39
NOVIEMBRE,5,11,29
NOVIEMBRE,5,12,16
NOVIEMBRE,5,13,16
NOVIEMBRE,5,14,15
NOVIEMBRE,5,15,18
NOVIEMBRE,5,16,18
NOVIEMBRE,5,17,19
NOVIEMBRE,5,18,21
NOVIEMBRE,5,19,33
NOVIEMBRE,5,20,34
NOVIEMBRE,5,21,32
NOVIEMBRE,5,22,22
NOVIEMBRE,5,23,22
NOVIEMBRE,6,0,20
NOVIEMBRE,6,1,39
NOVIEMBRE,6,2,32
NOVIEMBRE,6,3,NA
NOVIEMBRE,6,4,33
NOVIEMBRE,6,5,31
NOVIEMBRE,6,6,21
NOVIEMBRE,6,7,11
NOVIEMBRE,6,8,30
NOVIEMBRE,6,9,47
NOVIEMBRE,6,10,52
NOVIEMBRE,6,11,66
NOVIEMBRE,6,12,46
NOVIEMBRE,6,13,40
NOVIEMBRE,6,14,31
NOVIEMBRE,6,15,32
NOVIEMBRE,6,16,32
NOVIEMBRE,6,17,36
NOVIEMBRE,6,18,32
NOVIEMBRE,6,19,30
NOVIEMBRE,6,20,52
NOVIEMBRE,6,21,76
NOVIEMBRE,6,22,50
NOVIEMBRE,6,23,52
NOVIEMBRE,7,0,36
NOVIEMBRE,7,1,28
NOVIEMBRE,7,2,23
NOVIEMBRE,7,3,57
NOVIEMBRE,7,4,50
NOVIEMBRE,7,5,39
NOVIEMBRE,7,6,41
NOVIEMBRE,7,7,41
NOVIEMBRE,7,8,44
NOVIEMBRE,7,9,72
NOVIEMBRE,7,10,114
NOVIEMBRE,7,11,73
NOVIEMBRE,7,12,82
NOVIEMBRE,7,13,38
NOVIEMBRE,7,14,40
NOVIEMBRE,7,15,36
NOVIEMBRE,7,16,32
NOVIEMBRE,7,17,32
NOVIEMBRE,7,18,28
NOVIEMBRE,7,19,28
NOVIEMBRE,7,20,41
NOVIEMBRE,7,21,62
NOVIEMBRE,7,22,53
NOVIEMBRE,7,23,65
NOVIEMBRE,8,0,35
NOVIEMBRE,8,1,89
NOVIEMBRE,8,2,43
NOVIEMBRE,8,3,31
NOVIEMBRE,8,4,26
NOVIEMBRE,8,5,19
NOVIEMBRE,8,6,25
