DATOS HORARIOS 2020_FACULTAD DE MEDICINA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
DIC,1,0,0.0147,0.0088,0.390,0.0263,49,14,13.5,1.5,223,63,617.8
DIC,1,1,0.0138,0.0087,0.350,0.0259,35,NA,12.5,1.3,220,66,617.9
DIC,1,2,0.0137,0.0087,0.330,0.0253,29,12,11.9,1.2,221,67,617.9
DIC,1,3,0.0134,0.0086,0.320,0.025,29,11,11.3,1.3,222,69,617.9
DIC,1,4,0.015,0.0086,0.310,0.0228,25,9,10.9,0.9,222,70,617.8
DIC,1,5,0.0141,0.009,0.330,0.0228,24,6,10.9,0.4,191,70,617.5
DIC,1,6,0.0107,0.0094,0.370,0.0271,27,11,10.8,1.2,204,70,617.4
DIC,1,7,0.0115,0.009,0.420,0.0295,29,15,10.3,0.9,189,73,617.7
DIC,1,8,0.0091,0.0088,0.590,0.0347,27,6,10.2,0.5,173,73,618
DIC,1,9,0.0071,0.009,0.740,0.0379,33,7,11.4,0.5,188,69,618.3
DIC,1,10,0.0077,0.0094,0.870,0.0399,47,18,12.5,0.9,188,64,618.5
DIC,1,11,0.0115,0.0093,0.920,0.0434,70,15,14.8,0.8,148,57,618.2
DIC,1,12,0.0242,0.009,0.680,0.0381,82,20,17.5,0.8,170,54,617.6
DIC,1,13,0.0317,0.0089,0.510,0.0322,73,22,19.9,1.2,221,52,616.7
DIC,1,14,0.0318,0.0092,0.390,0.0263,62,16,21.7,1.8,234,46,615.7
DIC,1,15,0.0321,0.0096,0.370,0.0247,58,16,22.6,1.8,233,42,614.9
DIC,1,16,0.0308,0.0096,0.380,0.0243,46,15,23.4,1.7,224,36,614.3
