DATOS HORARIOS 2023_T-21 ,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDOS,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,03(ppm),SO2(ppm),NO2(ppm),PM10(µg/m3),PM2.5(µg/m3),TEMP,WD
NOVIEMBRE,1,0,NA,0.005,0.014,20,14,18.31,280.8
NOVIEMBRE,1,1,NA,0.005,0.008,24,20,17.42,272.4
NOVIEMBRE,1,2,NA,0.006,0.010,10,13,16.15,227
NOVIEMBRE,1,3,NA,0.006,0.009,11,18,14.68,205.3
NOVIEMBRE,1,4,NA,0.006,0.010,15,16,13.33,220.4
NOVIEMBRE,1,5,NA,0.006,0.012,19,15,12.93,222.7
NOVIEMBRE,1,6,NA,0.006,0.011,13,12,12.45,211.5
NOVIEMBRE,1,7,NA,0.006,0.018,18,14,11.86,237.9
NOVIEMBRE,1,8,NA,0.007,0.020,23,12,12.15,252.6
NOVIEMBRE,1,9,NA,0.007,0.013,35,17,12.55,183.3
NOVIEMBRE,1,10,NA,0.007,0.012,37,15,12.86,198.6
NOVIEMBRE,1,11,NA,0.007,0.012,38,19,14.37,177.8
NOVIEMBRE,1,12,NA,0.007,0.009,37,8,16.42,146.7
NOVIEMBRE,1,13,NA,0.006,0.010,24,8,18.11,154.5
NOVIEMBRE,1,14,NA,0.006,0.011,24,11,19.73,134
NOVIEMBRE,1,15,NA,0.006,0.010,23,9,21.16,149.2
NOVIEMBRE,1,16,NA,0.006,0.010,21,10,22.44,173.6
NOVIEMBRE,1,17,NA,0.006,0.010,22,16,23.31,123.3
NOVIEMBRE,1,18,NA,0.006,0.015,20,11,23.67,138.4
NOVIEMBRE,1,19,NA,0.007,0.027,28,6,22.82,100.6
NOVIEMBRE,1,20,NA,0.007,0.030,33,16,21.20,191.3
NOVIEMBRE,1,21,NA,0.006,0.024,27,13,19.77,242.3
NOVIEMBRE,1,22,NA,0.006,0.031,28,14,18.52,253.8
NOVIEMBRE,1,23,NA,0.006,0.023,50,22,16.51,219
NOVIEMBRE,2,0,NA,0.006,0.012,34,18,14.55,207.1
NOVIEMBRE,2,1,NA,0.006,0.010,16,8,13.15,209.1
NOVIEMBRE,2,2,NA,0.005,0.008,11,8,12.65,211.8
NOVIEMBRE,2,3,NA,0.006,0.010,7,10,12.07,213.5
NOVIEMBRE,2,4,NA,0.005,0.007,4,13,11.47,202.3
NOVIEMBRE,2,5,NA,0.005,0.007,7,12,10.87,201.7
NOVIEMBRE,2,6,NA,0.005,0.010,9,7,10.36,212
NOVIEMBRE,2,7,NA,0.007,0.018,20,11,10.12,207.7
NOVIEMBRE,2,8,NA,0.007,0.017,24,12,10.10,192.8
NOVIEMBRE,2,9,NA,0.007,0.014,21,13,10.10,198.6
NOVIEMBRE,2,10,NA,0.007,0.012,25,10,11.60,205.2
NOVIEMBRE,2,11,NA,0.007,0.012,32,15,13.66,191.1
NOVIEMBRE,2,12,NA,0.007,0.015,41,14,16.29,204.5
NOVIEMBRE,2,13,NA,0.007,0.016,53,18,18.54,173.4
NOVIEMBRE,2,14,NA,0.007,0.016,59,20,20.91,195.5
NOVIEMBRE,2,15,NA,0.006,0.012,57,13,23.49,194.4
NOVIEMBRE,2,16,NA,0.006,0.012,43,14,25.12,168
NOVIEMBRE,2,17,NA,0.006,0.014,34,12,25.91,155.2
NOVIEMBRE,2,18,NA,0.006,0.015,46,16,26.00,58
NOVIEMBRE,2,19,NA,0.006,0.022,37,11,24.79,51.7
NOVIEMBRE,2,20,NA,0.006,0.021,25,13,23.82,76
NOVIEMBRE,2,21,NA,0.006,0.019,32,14,22.75,78.5
NOVIEMBRE,2,22,NA,0.006,0.027,25,16,21.49,314
NOVIEMBRE,2,23,NA,0.006,0.029,23,18,20.17,252.7
NOVIEMBRE,3,0,NA,0.007,0.034,48,25,18.77,206.6
NOVIEMBRE,3,1,NA,0.008,0.021,45,23,17.37,190.4
NOVIEMBRE,3,2,NA,0.009,0.022,27,21,16.14,195.1
NOVIEMBRE,3,3,NA,0.008,0.023,28,20,15.65,225.2
NOVIEMBRE,3,4,NA,0.008,0.029,24,18,15.42,177.4
NOVIEMBRE,3,5,NA,0.010,0.033,29,23,14.69,192.1
